txn_id,date,merchant,amount,currency,status,category,account_id,notes
TXN001,15-01-2024,Swiggy,450.00,INR,SUCCESS,Food,ACC001,
TXN002,2024/01/16,Amazon,2500.00,INR,success,Shopping,ACC001,
TXN003,17-01-2024,Ola,$350.00,inr,PENDING,,ACC002,
TXN004,2024/01/18,IRCTC,1200.00,USD,SUCCESS,Travel,ACC002,Suspicious currency
TXN005,19-01-2024,Zomato,600.00,INR,FAILED,Food,ACC001,
TXN006,2024/01/20,Netflix,999.00,INR,SUCCESS,Entertainment,ACC003,
TXN007,21-01-2024,BookMyShow,800.00,INR,success,,ACC003,
TXN008,2024/01/22,Flipkart,3200.00,INR,SUCCESS,Shopping,ACC001,
TXN009,23-01-2024,Paytm,$500.00,inr,PENDING,,ACC002,SUSPICIOUS
TXN010,2024/01/24,HDFC ATM,10000.00,INR,SUCCESS,Cash Withdrawal,ACC001,
TXN011,25-01-2024,Swiggy,380.00,INR,success,Food,ACC001,
TXN012,2024/01/26,Amazon,1800.00,INR,SUCCESS,,ACC002,
TXN013,27-01-2024,BigBasket,2200.00,INR,SUCCESS,Shopping,ACC003,
TXN014,2024/01/28,Ola,420.00,USD,pending,,ACC001,Duplicate?
TXN015,29-01-2024,Uber,650.00,INR,SUCCESS,Transport,ACC002,
TXN016,2024/01/30,Myntra,4500.00,INR,SUCCESS,Shopping,ACC001,
TXN017,31-01-2024,Swiggy,510.00,INR,success,,ACC003,
TXN018,2024/02/01,Airtel,599.00,INR,SUCCESS,Utilities,ACC002,
TXN019,02-02-2024,Netflix,999.00,INR,SUCCESS,Entertainment,ACC003,Duplicate?
TXN020,2024/02/03,IRCTC,45000.00,INR,SUCCESS,Travel,ACC001,SUSPICIOUS
TXN021,04-02-2024,Zomato,720.00,INR,FAILED,,ACC002,
TXN022,2024/02/05,Amazon,$89.99,USD,SUCCESS,Shopping,ACC003,
TXN023,06-02-2024,BookMyShow,1200.00,INR,success,Entertainment,ACC001,
TXN024,2024/02/07,Flipkart,5600.00,INR,SUCCESS,,ACC002,
TXN025,08-02-2024,Paytm,300.00,INR,PENDING,,ACC003,
TXN026,2024/02/09,Ola,480.00,INR,success,Transport,ACC001,
TXN027,10-02-2024,Swiggy,430.00,INR,SUCCESS,Food,ACC002,
TXN028,2024/02/11,HDFC ATM,5000.00,INR,SUCCESS,Cash Withdrawal,ACC003,
TXN029,12-02-2024,Myntra,3200.00,INR,SUCCESS,,ACC001,
TXN030,2024/02/13,Airtel,599.00,INR,success,Utilities,ACC002,
TXN031,14-02-2024,Amazon,2100.00,INR,SUCCESS,Shopping,ACC003,
TXN032,2024/02/15,Zomato,$25.00,USD,FAILED,,ACC001,
TXN033,16-02-2024,Netflix,999.00,INR,SUCCESS,Entertainment,ACC002,
TXN034,2024/02/17,Uber,750.00,INR,success,,ACC003,
TXN035,18-02-2024,BigBasket,1800.00,INR,SUCCESS,Shopping,ACC001,
TXN036,2024/02/19,IRCTC,2800.00,INR,SUCCESS,,ACC002,
TXN037,20-02-2024,Swiggy,9999.00,INR,SUCCESS,Food,ACC001,SUSPICIOUS
TXN038,2024/02/21,Flipkart,6700.00,INR,success,,ACC003,
